match_link,date,time,stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3429760,"dom, 07/03/21",16:15,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3534273,"qui, 11/03/21",17:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421844,"dom, 21/03/21",16:30,Villa Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3429790,"dom, 04/04/21",10:05,St James' Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3429806,"sex, 16/04/21",16:00,Goodison Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3429852,"dom, 16/05/21",10:05,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3429867,"dom, 23/05/21",12:00,King Power Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3645113,"qui, 26/08/21",15:45,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3650445,"qua, 22/09/21",15:45,Molineux Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3651413,"qui, 30/09/21",16:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592017,"dom, 17/10/21",12:30,St James' Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3651506,"qui, 25/11/21",14:45,Ljudski Vrt
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592087,"dom, 19/12/21",13:30,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592253,"dom, 26/12/21",12:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592299,"ter, 28/12/21",12:00,St Mary's Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3710349,"dom, 09/01/22",11:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592056,"qua, 19/01/22",16:30,King Power Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3729277,"sáb, 05/02/22",17:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592107,"sáb, 19/02/22",14:30,Etihad Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592290,"sáb, 26/02/22",09:30,Elland Road
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592148,"seg, 07/03/22",17:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592236,"sáb, 12/03/22",14:30,Old Trafford
